,db,ticker,date,open,high,low,adj_close,rownumber,short_ema,medium_ema,long_ema,positive_directional_index_indicator,negative_directional_index_indicator,adx_indicator,suport_line,resistance_line,max_axis,min_axis,trigger_field1,trigger_field2,trigger_field3,trigger_field4,trigger_field5,trigger_field6,atr,floatshort,company,earnings_date,call_time,estimate_eps,zero_line,twenty_five_line,forty_line,max_avg_upper,min_avg_low,name,industry,vol_spike_bar
162,MD_Investm,AIN,7/13/2021,87.29,88.49,85.45,85.51,83,86.92,87.54,87.24,7.48,21.71,-45.54,74.31,90.55,102.77,66.75,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",4.73,2.43,,,,,0,25,40,28.348953,9.565465,Albany International Corporation,Textile Industrial,0
163,MD_Investm,AIN,7/27/2021,86,88.4,84.52,85.68,73,83.57,85.5,86.41,41.32,18.19,-11.7,74.31,90.55,102.77,66.75,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",4.73,2.43,,,,,0,25,40,28.348953,9.565465,Albany International Corporation,Textile Industrial,0
164,MD_Investm,AIN,10/15/2021,82.86,82.86,80.24,80.28,16,80.51,79.57,79.33,19.53,19.84,12.3,74.31,90.55,102.77,66.75,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",4.73,2.43,,,,,0,25,40,28.348953,9.565465,Albany International Corporation,Textile Industrial,0
165,MD_Investm,AINV,6/11/2021,14.91,15.11,14.9,15.09,104,14.84,14.58,14.58,31.71,5.69,3.6,12.8,15.18,16.7,11.12,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.23,3.14,,,,,0,25,40,28.899069,10.943488,Apollo Investment Corporation,Asset Management,0
166,MD_Investm,AGM,9/8/2021,100.09,100.4,99.65,99.99,43,99.23,99.22,98.8,36.69,15.36,4.16,94.9,132.6,148.32,84.78,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",3.58,1.38,Federal Agricultural Mortgage Corp,11/8/2021,After Market Close,2.62,0,25,40,34.034767,13.53686,Federal Agricultural Mortgage Corporation,Credit Services,0
167,MD_Investm,AGM,9/13/2021,98.92,100.53,98.92,99.43,40,99.34,98.97,98.71,23.33,21.14,9.27,94.9,132.6,148.32,84.78,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",3.58,1.38,Federal Agricultural Mortgage Corp,11/8/2021,After Market Close,2.62,0,25,40,34.034767,13.53686,Federal Agricultural Mortgage Corporation,Credit Services,0
168,MD_Investm,AGM,9/28/2021,110.68,111.61,110.02,111.17,29,106.74,105.07,104.5,60.86,3.2,56,94.9,132.6,148.32,84.78,"rgb(232, 232, 232)","rgb(77, 167, 75)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",3.58,1.38,Federal Agricultural Mortgage Corp,11/8/2021,After Market Close,2.62,0,25,40,34.034767,13.53686,Federal Agricultural Mortgage Corporation,Credit Services,0
169,MD_Investm,AGM,11/2/2021,128.97,129.28,127.42,129.18,4,126.17,123.6,120.43,76.92,-3.62,72.61,94.9,132.6,148.32,84.78,"rgb(232, 232, 232)","rgb(77, 167, 75)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",3.58,1.38,Federal Agricultural Mortgage Corp,11/8/2021,After Market Close,2.62,0,25,40,34.034767,13.53686,Federal Agricultural Mortgage Corporation,Credit Services,0
170,MD_Investm,AGNC,7/23/2021,16.33,16.36,16.07,16.12,75,16.16,16.4,16.62,20.23,37.57,-50.79,15.62,17.18,20,14.06,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.25,2.38,,,,,0,25,40,35.73186,11.448953,AGNC Investment Corp,REIT,0
171,MD_Investm,AGNC,7/28/2021,16.2,16.26,15.91,16.13,72,16.15,16.32,16.5,13.11,40.98,-45.95,15.62,17.18,20,14.06,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.25,2.38,,,,,0,25,40,35.73186,11.448953,AGNC Investment Corp,REIT,0
